eeg_value
6.0
9.0
5.0
11.0
3.0
11.0
1.0
9.0
1.0
7.0
1.0
3.0
0.0
1.0
3.0
3.0
6.0
4.0
9.0
4.0
11.0
2.0
12.0
1.0
11.0
3.0
9.0
5.0
6.0
6.0
2.0
6.0
2.0
4.0
4.0
3.0
6.0
0.0
6.0
2.0
5.0
3.0
3.0
4.0
1.0
4.0
2.0
3.0
5.0
2.0
7.0
1.0
8.0
1.0
9.0
0.0
10.0
0.0
10.0
1.0
10.0
1.0
11.0
2.0
11.0
1.0
10.0
1.0
9.0
0.0
7.0
1.0
5.0
2.0
2.0
2.0
2.0
2.0
4.0
1.0
6.0
0.0
6.0
1.0
5.0
1.0
3.0
1.0
0.0
1.0
2.0
4.0
3.0
6.0
4.0
8.0
3.0
9.0
1.0
9.0
1.0
7.0
2.0
4.0
3.0
1.0
3.0
2.0
2.0
4.0
0.0
5.0
1.0
5.0
2.0
4.0
2.0
2.0
2.0
1.0
1.0
3.0
1.0
5.0
2.0
7.0
4.0
8.0
5.0
8.0
6.0
8.0
6.0
7.0
6.0
5.0
4.0
2.0
2.0
1.0
1.0
3.0
5.0
5.0
8.0
5.0
11.0
5.0
12.0
4.0
12.0
3.0
9.0
2.0
6.0
3.0
1.0
5.0
3.0
7.0
6.0
9.0
7.0
10.0
7.0
10.0
7.0
8.0
6.0
5.0
6.0
2.0
7.0
1.0
8.0
3.0
8.0
3.0
6.0
2.0
2.0
1.0
5.0
0.0
14.0
2.0
23.0
7.0
30.0
14.0
35.0
22.0
35.0
30.0
31.0
34.0
24.0
35.0
15.0
32.0
6.0
24.0
1.0
14.0
4.0
3.0
4.0
6.0
2.0
12.0
2.0
14.0
5.0
14.0
7.0
12.0
6.0
10.0
4.0
8.0
0.0
8.0
3.0
9.0
5.0
11.0
6.0
12.0
5.0
12.0
3.0
11.0
1.0
9.0
0.0
5.0
0.0
2.0
1.0
0.0
3.0
1.0
5.0
0.0
5.0
1.0
5.0
1.0
2.0
1.0
0.0
0.0
3.0
3.0
5.0
6.0
