eeg_value
2.0
10.0
14.0
9.0
32.0
2.0
47.0
8.0
57.0
21.0
59.0
32.0
55.0
39.0
45.0
39.0
34.0
32.0
24.0
20.0
17.0
8.0
16.0
3.0
19.0
9.0
22.0
10.0
24.0
5.0
22.0
3.0
14.0
9.0
3.0
11.0
10.0
9.0
20.0
2.0
25.0
7.0
24.0
15.0
15.0
19.0
3.0
16.0
9.0
8.0
18.0
5.0
21.0
18.0
18.0
29.0
9.0
34.0
2.0
33.0
12.0
26.0
18.0
17.0
19.0
9.0
15.0
3.0
9.0
3.0
2.0
7.0
2.0
14.0
3.0
22.0
0.0
28.0
6.0
30.0
12.0
29.0
16.0
25.0
17.0
20.0
15.0
15.0
11.0
12.0
6.0
11.0
2.0
12.0
1.0
13.0
3.0
13.0
7.0
11.0
13.0
7.0
19.0
1.0
24.0
5.0
28.0
11.0
30.0
16.0
31.0
19.0
31.0
21.0
31.0
21.0
32.0
21.0
32.0
20.0
32.0
20.0
31.0
20.0
30.0
20.0
28.0
21.0
25.0
23.0
23.0
26.0
19.0
29.0
15.0
33.0
10.0
38.0
5.0
41.0
2.0
42.0
8.0
40.0
12.0
36.0
13.0
30.0
12.0
24.0
6.0
17.0
2.0
13.0
11.0
11.0
20.0
12.0
26.0
15.0
28.0
17.0
27.0
18.0
22.0
16.0
16.0
12.0
9.0
6.0
4.0
1.0
1.0
7.0
0.0
11.0
1.0
13.0
2.0
11.0
3.0
7.0
4.0
2.0
4.0
3.0
3.0
8.0
2.0
11.0
1.0
13.0
2.0
14.0
3.0
14.0
6.0
13.0
8.0
13.0
10.0
12.0
11.0
10.0
11.0
8.0
10.0
6.0
8.0
3.0
5.0
1.0
2.0
2.0
1.0
5.0
5.0
7.0
7.0
9.0
9.0
10.0
10.0
10.0
9.0
9.0
7.0
6.0
4.0
2.0
2.0
3.0
1.0
8.0
0.0
11.0
1.0
12.0
2.0
9.0
2.0
4.0
0.0
2.0
4.0
7.0
10.0
11.0
17.0
10.0
21.0
6.0
20.0
0.0
14.0
6.0
